专题名称,所属套装,包含部件数,套装类型,是否贩售,是否直接进入随机商店,初次贩售周期,进入随机商店时间,异色是否已出
治愈童话书,花衣蝶印象,6,金色套装,是,否,3.26-4.10,5.21,否
治愈童话书,白金独角兽印象,6,金色套装,是,否,3.26-4.10,5.21,是
治愈童话书,红绒十字印象,6,金色套装,是,否,3.26-4.10,5.21,是
毛绒巡林者,音速犬印象,6,金色套装,否,是,-,3.26,否
毛绒巡林者,厉毒修萝印象,6,金色套装,否,是,-,3.26,否
毛绒巡林者,岚鸟印象,6,金色套装,否,是,-,3.26,否
晚安睡衣派对,雪影娃娃印象,6,紫色套装,是,否,4.10-4.24,6.05,是
晚安睡衣派对,梦悠悠印象,6,紫色套装,是,否,4.10-4.24,6.05,否
晚安睡衣派对,电球咩咩印象,6,紫色套装,是,否,4.10-4.24,6.05,否
晚安睡衣派对,幽冥眼印象,6,紫色套装,是,否,4.10-4.24,6.05,否
重逢圆舞曲,翠顶夫人印象,6,金色套装,否,是,-,4.10,否
重逢圆舞曲,花魁蜂后印象,6,金色套装,否,是,-,4.10,否
重逢圆舞曲,卡洛儿印象,6,金色套装,否,是,-,4.10,否
嘭！炼金药剂,琉璃水母印象,6,金色套装,是,否,4.24-5.08,6.19,否
嘭！炼金药剂,九幽菇印象,6,金色套装,是,否,4.24-5.08,6.19,否
嘭！炼金药剂,嘟嘟锅印象,6,金色套装,是,否,4.24-5.08,6.19,是
雪山研究员,雪灵印象,6,紫色套装,否,是,-,4.24,否
雪山研究员,獠牙猪印象,6,紫色套装,否,是,-,4.24,是
雪山研究员,蒲公英娃娃印象,6,紫色套装,否,是,-,4.24,否
雪山研究员,圣代甜甜印象,6,紫色套装,否,是,-,4.24,否
野外考察队,魔草巫灵印象,7,紫色套装,是,否,5.08-5.21,7.03,否
野外考察队,奇丽花印象,7,紫色套装,是,否,5.08-5.21,7.03,是
野外考察队,高脚鹬印象,7,紫色套装,是,否,5.08-5.21,7.03,否
野外考察队,魔眷鸟印象,7,紫色套装,是,否,5.08-5.21,7.03,否
誓约圣骑士,星光狮印象,6,金色套装,否,是,-,5.08,否
誓约圣骑士,烈火守护印象,6,金色套装,否,是,-,5.08,否
誓约圣骑士,皇家狮鹫印象,6,金色套装,否,是,-,5.08,否
深海的馈赠,海豹船长印象,6,金色套装,是,否,5.21-6.05,7.17,否
深海的馈赠,千棘盔印象,6,金色套装,是,否,5.21-6.05,7.17,是
深海的馈赠,迷迷箱怪印象,6,金色套装,是,否,5.21-6.05,7.17,否
魔法嘉年华,烟花伯爵印象,7,紫色套装,是,否,6.05-6.19,7.31,是
魔法嘉年华,巨鼓象印象,7,紫色套装,是,否,6.05-6.19,7.31,是
魔法嘉年华,咕德帽帽印象,7,紫色套装,是,否,6.05-6.19,7.31,是
魔法嘉年华,小丑公爵印象,7,紫色套装,是,否,6.05-6.19,7.31,是
梦境流浪者,幻影灵菇印象,6,金色套装,是,否,6.19-7.3,8.14,否
梦境流浪者,怖哭菇印象,6,金色套装,是,否,6.19-7.3,8.14,否
梦境流浪者,流浪鼠印象,6,金色套装,是,否,6.19-7.3,8.14,否
乐团协奏曲,圆号鱼印象,7,紫色套装,是,否,7.3-7.16,8.28,否
乐团协奏曲,里拉鳐印象,7,紫色套装,是,否,7.3-7.16,8.28,否
乐团协奏曲,卡瓦重印象,7,紫色套装,是,否,7.3-7.16,8.28,否
乐团协奏曲,蹦床松鼠印象,7,紫色套装,是,否,7.3-7.16,8.28,否
秘密潜入计划,朔夜伊芙印象,6,金色套装,是,否,7.16-7.30,9.10,是
秘密潜入计划,乌拉塔印象,6,金色套装,是,否,7.16-7.30,9.10,否
秘密潜入计划,裘卡印象,6,金色套装,是,否,7.16-7.30,9.10,否
年轮诗社,古卷执政官印象,7,紫色套装,是,否,7.31-8.14,9.25,否
年轮诗社,古卷匣魔像印象,7,紫色套装,是,否,7.31-8.14,9.26,否
年轮诗社,画间法师手印象,7,紫色套装,是,否,7.31-8.14,9.27,否
年轮诗社,画间沉铁兽印象,7,紫色套装,是,否,7.31-8.14,9.28,否
